Origem,Status,Chegada,Campanha,Nome,Contato,H.Preferencial,Email,1ª Ligação,2ª Ligação,3ª Ligação,Anotações,Conversão
Facebook / Insta,Marcada,"01/01/2026, 00:32:06",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/09 12:00:00,2026/01/09 18:00:00,,n atendeu/ maracção 20/01  14h,7496
Facebook / Insta,Não Atendeu,"01/01/2026, 02:29:45",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/09 12:00:00,2026/01/09 18:00:00,,N atendeu,
Facebook / Insta,Perdida,"01/01/2026, 08:37:56",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/09 18:00:00,,,"Trabalha no estrageiro, so regressa em Abril. dp marca",
Facebook / Insta,Não Atendeu,"1/1/2026, 12:35:46",Implantes,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,2026/01/16 13:00:00,,,N ATENDEU,
Facebook / Insta,Pendente,"1/1/2026, 15:11:48",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Não Atendeu,"1/1/2026, 20:27:23",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 17:00:00,,,N ATENDEU,
Facebook / Insta,Marcada,"1/1/2026, 20:58:25",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,01/05 17:30,,,MARCAÇÃO 12/02  15H,9672
Facebook / Insta,Pendente,"1/1/2026, 21:15:19",Implantes,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,,,,,
Facebook / Insta,Pendente,"2/1/2026, 07:03:03",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,,,,,
Google / Site,Pendente,"2/1/2026, 07:04:16",Geral,Jane Doe,351999111222,9 às 13h,janedoe@gmail.com,,,,,
Google / Site,Marcada,"2/1/2026, 15:21:18",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 17:30:00,,,MARCAÇÃO 14/01 11H,3993
Facebook / Insta,Andamento,"2/1/2026, 21:39:29",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/16 14:00:00,,,VAI LIGAR A MARCAR,
Facebook / Insta,Não Atendeu,"3/1/2026, 02:34:07",Geral,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/05 18:00:00,,,TLM DESLIGADO,
Facebook / Insta,Não Atendeu,"3/1/2026, 11:51:08",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 18:00:00,,,OCUPADO,
Facebook / Insta,Perdida,"3/1/2026, 13:29:35",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,2026/01/05 14:00:00,2026/01/19 19:00:00,,desligou,
Facebook / Insta,Marcada,"3/1/2026, 14:01:03",Implantes,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 18:00:00,,,MARCAÇÃO 12/01 - 12H,5731
Facebook / Insta,Não Atendeu,"3/1/2026, 14:07:24",Geral,Jane Doe,351999111222,14 às 18h,janedoe@gmail.com,2026/01/05 18:00:00,,,N ATENDEU,
Facebook / Insta,Marcada,"3/1/2026, 15:29:35",Geral,Jane Doe,351999111222,13 às 14h,janedoe@gmail.com,2026/01/06 19:00:00,,,mARCAÇÃO 13/01 15.30,1772
Facebook / Insta,Pendente,"3/1/2026, 17:17:07",Implantes,Jane Doe,351999111222,18 às 20h,janedoe@gmail.com,,,,,
